# Logger type: CL3000
# HW rev: 7.xx
# FW rev: 5.75 / 4.00.03
# Logger ID: id0001
# Session No.: 106
# Split No.: 1
# Time: 20200208T155344
# Value separator: ";"
# Time format: 6
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: ""
# Bit-rate: 5000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
20200208155344978;1;101;deadbeef00000000
20200208155345003;0;101;0101010110000000
20200208155345027;0;100;0101010110000000
20200208155345056;1;101;deadbeef00000000
20200208155345080;0;10A;0101010110000000
20200208155345105;0;101;0101010110000000
20200208155345134;1;101;deadbeef00000000
20200208155345158;0;101;0101010110000000
20200208155345183;0;101;0101010110000000
20200208155345211;1;10A;deadbeef00000000
20200208155345236;0;101;0101010110000000
20200208155345261;0;101;0101010110000000
20200208155345289;1;101;deadbeef00000000
20200208155345314;0;101;0101010110000000
20200208155345338;0;101;0101010110000000
20200208155345367;1;101;deadbeef00000000
20200208155345391;0;101;0101010110000000
20200208155345416;0;101;0101010110000000
20200208155345445;1;101;deadbeef00000000
20200208155345469;0;101;0101010110000000
20200208155345494;0;101;0101010110000000
20200208155345522;1;101;deadbeef00000000
20200208155345547;0;101;0101010110000000
20200208155345572;0;101;0101010110000000
20200208155345600;1;101;deadbeef00000000
20200208155345625;0;101;0101010110000000
20200208155345649;0;101;0101010110000000
20200208155345678;1;101;deadbeef00000000
20200208155345703;0;101;0101010110000000
20200208155345727;0;101;0101010110000000
20200208155345756;1;101;deadbeef00000000
20200208155345780;0;101;0101010110000000
20200208155345805;0;101;0101010110000000
20200208155345833;1;101;deadbeef00000000
20200208155345858;0;101;0101010110000000
20200208155345883;0;101;0101010110000000
20200208155345911;1;101;deadbeef00000000
20200208155345936;0;101;0101010110000000
20200208155345960;0;101;0101010110000000
20200208155345989;1;101;deadbeef00000000
20200208155346014;0;101;0101010110000000
20200208155346038;0;101;0101010110000000
20200208155346067;1;101;deadbeef00000000
20200208155346091;0;101;0101010110000000
20200208155346116;0;101;0101010110000000
20200208155346144;1;101;deadbeef00000000
20200208155346169;0;101;0101010110000000
20200208155346194;0;101;0101010110000000
20200208155346222;1;101;deadbeef00000000
20200208155346247;0;101;0101010110000000
20200208155346271;0;101;0101010110000000
20200208155346300;1;101;deadbeef00000000
20200208155346325;0;101;0101010110000000
20200208155346349;0;101;0101010110000000
20200208155346378;1;101;deadbeef00000000
20200208155346402;0;101;0101010110000000
20200208155346427;0;101;0101010110000000
20200208155346456;1;101;deadbeef00000000
20200208155346480;0;101;0101010110000000
20200208155346505;0;101;0101010110000000
20200208155346533;1;101;deadbeef00000000
20200208155346558;0;101;0101010110000000
20200208155346582;0;101;0101010110000000
20200208155346611;1;101;deadbeef00000000
20200208155346636;0;101;0101010110000000
20200208155346660;0;101;0101010110000000
20200208155346689;1;101;deadbeef00000000
20200208155346713;0;101;0101010110000000
20200208155346738;0;101;0101010110000000
20200208155346767;1;101;deadbeef00000000
20200208155346791;0;101;0101010110000000
20200208155346816;0;101;0101010110000000
20200208155346844;1;101;deadbeef00000000
20200208155346869;0;101;0101010110000000
20200208155346894;0;101;0101010110000000
20200208155346922;1;101;deadbeef00000000
20200208155346947;0;101;0101010110000000
20200208155346971;0;101;0101010110000000
20200208155347000;1;101;deadbeef00000000
20200208155347024;0;101;0101010110000000
20200208155347049;0;101;0101010110000000
20200208155347078;1;101;deadbeef00000000
20200208155347102;0;101;0101010110000000
20200208155347127;0;101;0101010110000000
20200208155347155;1;101;deadbeef00000000
20200208155347180;0;101;0101010110000000
20200208155347205;0;101;0101010110000000
20200208155347233;1;101;deadbeef00000000
20200208155347258;0;101;0101010110000000
20200208155347282;0;101;0101010110000000
20200208155347311;1;101;deadbeef00000000
20200208155347335;0;101;0101010110000000
20200208155347360;0;101;0101010110000000
20200208155347389;1;101;deadbeef00000000
20200208155347413;0;101;0101010110000000
20200208155347438;0;101;0101010110000000
20200208155347466;1;101;deadbeef00000000
20200208155347491;0;101;0101010110000000
20200208155347516;0;101;0101010110000000
20200208155347544;1;101;deadbeef00000000
20200208155347569;0;101;0101010110000000
20200208155347593;0;101;0101010110000000
20200208155347622;1;101;deadbeef00000000
20200208155347647;0;101;0101010110000000
20200208155347671;0;101;0101010110000000
20200208155347700;1;101;deadbeef00000000
20200208155347724;0;101;0101010110000000
20200208155347749;0;101;0101010110000000
20200208155347777;1;101;deadbeef00000000
20200208155347802;0;101;0101010110000000
20200208155347827;0;101;0101010110000000
20200208155347855;1;101;deadbeef00000000
20200208155347880;0;101;0101010110000000
20200208155347904;0;101;0101010110000000
20200208155347933;1;101;deadbeef00000000
20200208155347958;0;101;0101010110000000
20200208155347982;0;101;0101010110000000
20200208155348011;1;101;deadbeef00000000
20200208155348035;0;101;0101010110000000
20200208155348060;0;101;0101010110000000
20200208155348089;1;101;deadbeef00000000
20200208155348113;0;101;0101010110000000
20200208155348138;0;101;0101010110000000
20200208155348166;1;101;deadbeef00000000
20200208155348191;0;101;0101010110000000
20200208155348215;0;101;0101010110000000
20200208155348244;1;101;deadbeef00000000
20200208155348269;0;101;0101010110000000
20200208155348293;0;101;0101010110000000
20200208155348322;1;101;deadbeef00000000
20200208155348346;0;101;0101010110000000
20200208155348371;0;101;0101010110000000
20200208155348400;1;101;deadbeef00000000
20200208155348424;0;101;0101010110000000
20200208155348449;0;101;0101010110000000
20200208155348477;1;101;deadbeef00000000
20200208155348502;0;101;0101010110000000
20200208155348527;0;101;0101010110000000
20200208155348555;1;101;deadbeef00000000
20200208155348580;0;101;0101010110000000
20200208155348604;0;101;0101010110000000
20200208155348633;1;101;deadbeef00000000
20200208155348657;0;101;0101010110000000
20200208155348682;0;101;0101010110000000
20200208155348711;1;101;deadbeef00000000
20200208155348735;0;101;0101010110000000
20200208155348760;0;101;0101010110000000
20200208155348788;1;101;deadbeef00000000
20200208155348813;0;101;0101010110000000
20200208155348838;0;101;0101010110000000
20200208155348866;1;101;deadbeef00000000
20200208155348891;0;101;0101010110000000
20200208155348915;0;101;0101010110000000
20200208155348944;1;101;deadbeef00000000
20200208155348968;0;101;0101010110000000
20200208155348993;0;101;0101010110000000
20200208155349022;1;101;deadbeef00000000
20200208155349046;0;101;0101010110000000
20200208155349071;0;101;0101010110000000
20200208155349099;1;101;deadbeef00000000
20200208155349124;0;101;0101010110000000
20200208155349149;0;101;0101010110000000
20200208155349177;1;101;deadbeef00000000
20200208155349202;0;101;0101010110000000
20200208155349226;0;101;0101010110000000
20200208155349255;1;101;deadbeef00000000
20200208155349280;0;101;0101010110000000
20200208155349304;0;101;0101010110000000
20200208155349333;1;101;deadbeef00000000
20200208155349357;0;101;0101010110000000
20200208155349382;0;101;0101010110000000
20200208155349410;1;101;deadbeef00000000
20200208155349435;0;101;0101010110000000
20200208155349460;0;101;0101010110000000
20200208155349488;1;101;deadbeef00000000
20200208155349513;0;101;0101010110000000
20200208155349537;0;101;0101010110000000
20200208155349566;1;101;deadbeef00000000
20200208155349591;0;101;0101010110000000
20200208155349615;0;101;0101010110000000
20200208155349644;1;101;deadbeef00000000
20200208155349668;0;101;0101010110000000
20200208155349693;0;101;0101010110000000
20200208155349722;1;101;deadbeef00000000
20200208155349746;0;101;0101010110000000
20200208155349771;0;101;0101010110000000
20200208155349799;1;101;deadbeef00000000
20200208155349824;0;101;0101010110000000
20200208155349848;0;101;0101010110000000
20200208155349877;1;101;deadbeef00000000
20200208155349902;0;101;0101010110000000
20200208155349926;0;101;0101010110000000
20200208155349955;1;101;deadbeef00000000
20200208155349979;0;101;0101010110000000
20200208155350004;0;101;0101010110000000
20200208155350033;1;101;deadbeef00000000
20200208155350057;0;101;0101010110000000
20200208155350082;0;101;0101010110000000
20200208155350110;1;101;deadbeef00000000
20200208155350135;0;101;0101010110000000
20200208155350160;0;101;0101010110000000
20200208155350188;1;101;deadbeef00000000
20200208155350213;0;101;0101010110000000
20200208155350237;0;101;0101010110000000
20200208155350266;1;101;deadbeef00000000
20200208155350290;0;101;0101010110000000
20200208155350315;0;101;0101010110000000
20200208155350344;1;101;deadbeef00000000
20200208155350368;0;101;0101010110000000
20200208155350393;0;101;0101010110000000
20200208155350421;1;101;deadbeef00000000
20200208155350446;0;101;0101010110000000
20200208155350471;0;101;0101010110000000
20200208155350499;1;101;deadbeef00000000
20200208155350524;0;101;0101010110000000
20200208155350548;0;101;0101010110000000
20200208155350577;1;101;deadbeef00000000
20200208155350601;0;101;0101010110000000
20200208155350626;0;101;0101010110000000
20200208155350655;1;101;deadbeef00000000
20200208155350679;0;101;0101010110000000
20200208155350704;0;101;0101010110000000
20200208155350732;1;101;deadbeef00000000
20200208155350757;0;101;0101010110000000
20200208155350782;0;101;0101010110000000
20200208155350810;1;101;deadbeef00000000
20200208155350835;0;101;0101010110000000
20200208155350859;0;101;0101010110000000
20200208155350888;1;101;deadbeef00000000
20200208155350913;0;101;0101010110000000
20200208155350937;0;101;0101010110000000
20200208155350966;1;101;deadbeef00000000
