Index,Timestamp,Elapsed Time [s],Time Increment [s],Voltage [V],Current [A],Charging Coulombs [Ah],Discharging Coulombs [Ah],Estimated SOC
0,2025-02-11 02:10:49.390,0.0,,3.204206,0.0,0,0,6.5
1,2025-02-11 02:10:49.398,0.008,0.005,3.204206,0.0,0,0.0,6.5
2,2025-02-11 02:14:49.403,240.013,240.002,2.93017,0.700404,0,0.046694,4.83236
3,2025-02-11 04:14:49.411,7440.021,7200.003,3.114234,0.0,0,0.046694,4.83236
4,2025-02-11 04:18:49.447,7680.057,240.027,2.792446,0.700597,0,0.0934057,3.16409
5,2025-02-11 06:18:49.454,14880.065,7200.003,3.047825,0.0,0,0.0934057,3.16409
6,2025-02-11 06:22:49.480,15120.091,240.018,2.621078,0.700493,0,0.1401087,1.49613
7,2025-02-11 08:22:49.485,22320.095,7200.002,2.945989,0.0,0,0.1401087,1.49613
8,2025-02-11 08:26:49.495,22560.105,240.002,2.306219,0.700605,0,0.1868161,-0.17199
9,2025-02-11 10:26:49.508,29760.119,7200.007,2.765181,0.0,0,0.1868161,-0.17199
10,2025-02-11 10:30:49.514,30000.124,240.003,1.680483,0.700501,0,0.2335168,-1.83987
11,2025-02-11 04:30:48.227,8398.838,-21601.287,2.492393,0.0,0,0.2335168,-1.83987
12,2025-02-11 04:40:48.246,8998.856,600.011,2.495605,0.0,0,0.2335168,-1.83987
13,2025-02-11 04:50:48.252,9598.863,600.005,2.498622,0.0,0,0.2335168,-1.83987
14,2025-02-11 05:00:48.260,10198.87,600.005,2.501447,0.0,0,0.2335168,-1.83987
